Filename,Dominant_color,Colorname
550x242.jpg,"(37, 35, 35)",black
550x243.jpg,"(64, 57, 56)",darkslategray
550x245.jpg,"(76, 72, 63)",darkslategray
550x246.jpg,"(65, 61, 60)",darkslategray
550x252.jpg,"(62, 40, 27)",darkslategray
550x253.jpg,"(103, 101, 109)",dimgray
550x257.jpg,"(195, 198, 202)",silver
550x258.jpg,"(37, 37, 39)",darkslategray
550x260.jpg,"(103, 75, 58)",darkolivegreen
550x262.jpg,"(50, 49, 54)",darkslategray
550x266.jpg,"(35, 31, 30)",black
550x268.jpg,"(114, 115, 116)",dimgray
550x269.jpg,"(60, 61, 64)",darkslategray
550x270.jpg,"(76, 59, 49)",darkslategray
550x274.jpg,"(106, 102, 101)",dimgray
550x275.jpg,"(45, 43, 42)",darkslategray
550x276.jpg,"(48, 51, 53)",darkslategray
550x277.jpg,"(58, 54, 53)",darkslategray
550x279.jpg,"(204, 203, 200)",lightgray
550x282.jpg,"(56, 55, 55)",darkslategray
550x287.jpg,"(64, 65, 63)",darkslategray
550x291.jpg,"(31, 27, 25)",black
550x292.jpg,"(75, 69, 66)",darkslategray
550x295.jpg,"(43, 43, 41)",darkslategray
550x300.jpg,"(209, 73, 50)",chocolate
550x301.jpg,"(56, 58, 62)",darkslategray
550x302.jpg,"(243, 210, 169)",wheat
550x303.jpg,"(124, 142, 160)",lightslategray
550x304.jpg,"(48, 51, 52)",darkslategray
550x305.jpg,"(47, 47, 51)",darkslategray
550x308.jpg,"(105, 100, 98)",dimgray
550x309.jpg,"(46, 45, 49)",darkslategray
550x314.jpg,"(233, 231, 226)",gainsboro
550x320.jpg,"(40, 45, 70)",darkslategray
550x321.jpg,"(67, 66, 67)",darkslategray
550x325.jpg,"(67, 66, 66)",darkslategray
550x326.jpg,"(33, 36, 51)",darkslategray
550x328.jpg,"(54, 53, 55)",darkslategray
550x329.jpg,"(205, 200, 201)",lightgray
550x330.jpg,"(136, 124, 111)",gray
550x333.jpg,"(104, 99, 99)",dimgray
550x334.jpg,"(63, 63, 64)",darkslategray
550x335.jpg,"(44, 45, 45)",darkslategray
550x339.jpg,"(242, 241, 241)",whitesmoke
550x342.jpg,"(99, 86, 81)",dimgray
550x344.jpg,"(75, 60, 52)",darkslategray
550x346.jpg,"(66, 77, 83)",darkslategray
550x349.jpg,"(50, 48, 51)",darkslategray
550x350.jpg,"(55, 54, 54)",darkslategray
550x351.jpg,"(71, 59, 52)",darkslategray
550x352.jpg,"(105, 102, 102)",dimgray
550x353.jpg,"(52, 46, 43)",darkslategray
550x356.jpg,"(67, 67, 66)",darkslategray
550x357.jpg,"(59, 46, 41)",darkslategray
550x358.jpg,"(63, 64, 70)",darkslategray
550x359.jpg,"(73, 72, 72)",darkslategray
550x361.jpg,"(73, 58, 51)",darkslategray
550x362.jpg,"(67, 67, 69)",darkslategray
550x364.jpg,"(50, 58, 69)",darkslategray
550x367.jpg,"(132, 106, 83)",dimgray
550x368.jpg,"(111, 82, 67)",darkolivegreen
550x371.jpg,"(242, 242, 242)",whitesmoke
550x373.jpg,"(172, 122, 82)",peru
550x374.jpg,"(113, 115, 123)",gray
550x375.jpg,"(46, 45, 45)",darkslategray
550x376.jpg,"(60, 69, 75)",darkslategray
550x377.jpg,"(141, 95, 43)",sienna
550x378.jpg,"(48, 48, 50)",darkslategray
550x379.jpg,"(59, 57, 60)",darkslategray
550x381.jpg,"(110, 92, 71)",dimgray
550x383.jpg,"(50, 45, 44)",darkslategray
550x384.jpg,"(56, 55, 58)",darkslategray
550x385.jpg,"(38, 37, 38)",darkslategray
550x390.jpg,"(45, 53, 64)",darkslategray
550x393.jpg,"(57, 57, 59)",darkslategray
550x394.jpg,"(51, 54, 62)",darkslategray
550x396.jpg,"(63, 60, 58)",darkslategray
550x404.jpg,"(44, 53, 66)",darkslategray
550x405.jpg,"(114, 110, 107)",dimgray
550x406.jpg,"(60, 63, 69)",darkslategray
550x412.jpg,"(71, 75, 79)",darkslategray
550x414.jpg,"(69, 67, 66)",darkslategray
550x415.jpg,"(56, 56, 57)",darkslategray
550x416.jpg,"(75, 75, 76)",darkslategray
550x419.jpg,"(23, 76, 113)",darkslategray
550x422.jpg,"(242, 241, 241)",whitesmoke
550x424.jpg,"(65, 69, 75)",darkslategray
550x426.jpg,"(122, 93, 80)",dimgray
550x427.jpg,"(97, 112, 128)",dimgray
550x434.jpg,"(29, 29, 28)",black
550x437.jpg,"(31, 22, 27)",black
550x444.jpg,"(20, 28, 25)",black
550x454.jpg,"(74, 104, 123)",dimgray
550x455.jpg,"(52, 51, 54)",darkslategray
550x457.jpg,"(242, 242, 243)",whitesmoke
550x459.jpg,"(68, 55, 53)",darkslategray
550x464.jpg,"(116, 117, 124)",gray
550x469.jpg,"(56, 123, 88)",seagreen
550x475.jpg,"(232, 232, 231)",lavender
550x476.jpg,"(86, 91, 103)",dimgray
550x477.jpg,"(66, 72, 79)",darkslategray
550x485.jpg,"(57, 52, 51)",darkslategray
550x505.jpg,"(54, 57, 62)",darkslategray
550x507.jpg,"(47, 48, 51)",darkslategray
550x509.jpg,"(45, 44, 43)",darkslategray
550x511.jpg,"(131, 98, 76)",dimgray
550x513.jpg,"(80, 74, 66)",darkslategray
550x514.jpg,"(25, 23, 24)",black
550x519.jpg,"(45, 43, 43)",darkslategray
550x521.jpg,"(68, 61, 54)",darkslategray
550x523.jpg,"(56, 51, 50)",darkslategray
550x527.jpg,"(117, 104, 91)",dimgray
550x538.jpg,"(42, 53, 57)",darkslategray
550x544.jpg,"(46, 48, 50)",darkslategray
550x555.jpg,"(55, 57, 56)",darkslategray
550x557.jpg,"(58, 59, 55)",darkslategray
550x559.jpg,"(77, 76, 75)",darkslategray
550x560.jpg,"(77, 76, 75)",darkslategray
